cnpj,razao_social,nome_fantasia,logradouro,telefone_1,telefone_2,email,capital_social,socios
57249635000144,ALI TOP PIZZA LTDA,TOP PIZZA,"Vicente de carvalho, 709 - Cajuru - Curitiba - PR, 82940-370",4133669676,000000000000,None,20000,"[{""nome"": ""GERALDO GILBERTO DE CARVALHO JUNIOR"", ""qualificacao"": ""Sócio-Administrador""}]"
43677286000157,AMITI PIZZA LTDA,AMITI PIZZA,"Joao alencar guimaraes, 21 - Santa quiteria - Curitiba - PR, 80310-420",4188832986,,None,80000,"[{""nome"": ""THIAGO DAL COL CAMARGO"", ""qualificacao"": ""Sócio-Administrador""}, {""nome"": ""GUILHERME ACCO JUNIOR"", ""qualificacao"": ""Sócio""}]"
32295808000130,CASTEL PIZZA LTDA,CASTEL PIZZA,"Itacolomi, 1080 - Portao - Curitiba - PR, 81070-150",4198744196,,None,60000,"[{""nome"": ""JAIRO DIAS SOARES"", ""qualificacao"": ""Sócio-Administrador""}]"
41282406000191,DIRETORIA DA PIZZA LTDA,DIRETORIA DA PIZZA,"Dom pedro i, 305 - Agua verde - Curitiba - PR, 80620-130",4133436788,4198648997,None,20000,"[{""nome"": ""ALESSANDRO CESAR DE SOUZA BISCOSKI"", ""qualificacao"": ""Sócio-Administrador""}]"
02808817000116,DISK PIZZA EBENEZER LTDA,MIRANTE DA PIZZA,"Arthur jose nisio, 271 - Uberaba - Curitiba - PR, 81550-260",4133644973,,None,5000,"[{""nome"": ""EVERTON FRANCISCO CARVALHO"", ""qualificacao"": ""Sócio-Administrador""}]"
03283360000136,ESCARINATTA DISK-PIZZA LTDA,ESCARINATTA DISK-PIZZA,"Alferes poli, 1592 - Reboucas - Curitiba - PR, 80220-050",4133333334,,None,6000,"[{""nome"": ""ABRAAO ANANIAS"", ""qualificacao"": ""Sócio-Administrador""}]"
55664329000149,FAT PIZZA LTDA,FAT PIZZA LTDA,"Victor ferreira do amaral, 2772 - Capão da imbuia - Curitiba - PR, 82810-350",4187983773,000000000000,None,10000,"[{""nome"": ""LUIS CARLOS MIKOSKI JUNIOR"", ""qualificacao"": ""Sócio-Administrador""}]"
54971897000120,FRANQUIA DA PIZZA LTDA,POKE & PIZZA,"Paraná, 3301 - Boa vista - Curitiba - PR, 82510-000",4199292777,000000000000,None,5000,"[{""nome"": ""ALEXANDRE DE SOUZA HETMANEK"", ""qualificacao"": ""Sócio-Administrador""}]"
47048816000159,GOOD S PIZZA LTDA,GOODS PIZZA,"Joao bettega, 4280 - Cidade industrial - Curitiba - PR, 81350-274",4188617616,000000000000,None,100000,"[{""nome"": ""GUI ANTONIO DE ANDRADE MOREIRA"", ""qualificacao"": ""Sócio-Administrador""}]"
15658126000125,GUABIRO PIZZA LTDA,GUABIRO PIZZA,"Senador salgado filho, 2161 - Guabirotuba - Curitiba - PR, 81510-001",4198634013,,None,88000,"[{""nome"": ""LEANDRO RIBEIRO"", ""qualificacao"": ""Sócio-Administrador""}]"
04814201000183,IMPERIO DA PIZZA RESTAURANTE E PIZZARIA LTDA,IMPERIO DA PIZZA,"Professor nilo brandao, 504 - Sao lourenco - Curitiba - PR, 82210-050",4132237423,,None,20000,"[{""nome"": ""MAURO MACIEL"", ""qualificacao"": ""Sócio-Administrador""}]"
53672133000170,JON PIZZA LTDA,JON PIZZA,"Munhoz da rocha, 787 - Cabral - Curitiba - PR, 80035-000",4388262217,000000000000,None,10000,"[{""nome"": ""JONATHAN YU YAMAUE"", ""qualificacao"": ""Sócio-Administrador""}, {""nome"": ""CINTIA BARIQUELO"", ""qualificacao"": ""Sócio""}]"
52726884000160,NAZA PIZZA LTDA,NAZA PIZZA,"Nossa senhora do sagrado coracao, 1400 - Pinheirinho - Curitiba - PR, 81870-010",4197068985,,None,40000,"[{""nome"": ""NAZARETH DARREL EUZEBIO"", ""qualificacao"": ""Sócio-Administrador""}]"
07994374000119,PADOVA DISK PIZZA LTDA,PADOVA DISK PIZZA,"Av. brasilia, 6172 - Novo mundo - Curitiba - PR, 81020-010",4132587766,4133492098,None,5000,"[{""nome"": ""CLEUZA MARIA PELANDA"", ""qualificacao"": ""Sócio""}, {""nome"": ""HELENA BEATRIZ PELANDA"", ""qualificacao"": ""Sócio-Administrador""}]"
72311822000102,PASTA PIZZA COMERCIO DE PIZZA E ROTISSERIA LTDA,PASTA PIZZA,"Tres marias, 339 - Sao braz - Curitiba - PR, 82310-000",4132733913,,None,97000,"[{""nome"": ""TARCIANA MARINHO SILVA"", ""qualificacao"": ""Sócio-Administrador""}]"
56340114000135,PIZZA PAN LTDA,PIZZA PAN,"Vereador aurelino mäder gonçalves, 630 - Xaxim - Curitiba - PR, 81830-260",4199199843,000000000000,None,10000,"[{""nome"": ""JHONNY DOS SANTOS"", ""qualificacao"": ""Sócio-Administrador""}]"
53060568000164,PIZZA SE7E LTDA,PIZZA SE7E,"Marte, 385 - Abranches - Curitiba - PR, 81900-065",4187245099,000000000000,None,20000,"[{""nome"": ""WILLYAN GUSTAVO LIMA MACEDO"", ""qualificacao"": ""Sócio-Administrador""}]"
37675164000129,PIZZA URBANA DELIVERY LTDA,PIZZA URBANA,"Frederico lambertucci, 480 - Fazendinha - Curitiba - PR, 81330-000",4184949191,,None,140000,"[{""nome"": ""RAFAEL BIAZUZ RICAS"", ""qualificacao"": ""Sócio""}, {""nome"": ""RICARDO POSSANI"", ""qualificacao"": ""Sócio-Administrador""}]"
56905140000163,PIZZAS ELPIS CURITIBA LTDA,PIZZAS ELPIS,"24 de maio, 971 - Rebouças - Curitiba - PR, 80220-060",4133669676,000000000000,None,50000,"[{""nome"": ""HECTOR SANTIAGO DE POSADA NIEVES"", ""qualificacao"": ""Sócio-Administrador""}]"
08424029000102,SAMUEL CARRIEL DE LIMA - HORA DA PIZZA DISK PIZZA,HORA DA PIZZA DISK PIZZA,"Eduardo pinto da rocha, 889 - Alto boqueirao - Curitiba - PR, 81850-000",4135643759,,None,1000,[]
